会议名称,意义,大概召开时间
全国人大年度会议,宏观政策、财政预算、立法；政策预期与预算方向,每年3月（通常3月5日开幕）
全国政协年度会议,政策议题、协商建言、民生；舆论与主题催化,每年3月，与人大同期
中共中央全会（含三中全会）,改革与治理、五年规划建议、党建；三中全会常被解读为改革信号,每届多次，三中全会多在下半年
中国共产党全国代表大会,顶层战略、人事与治理、中长期规划；大级别预期切换,每5年一次，多在10-11月
中央经济工作会议,年度宏观经济、财政货币政策、地产与稳增长定调,每年11-12月
全国金融工作会议,金融改革与监管顶层部署,不定期，历届约隔5年（1997、2002、2007、2012、2017、2023）
中国进出口商品交易会（广交会）,外贸、出口订单、制造业；订单与出口链预期,每年春交会约4月中旬、秋交会约10月中旬
中国国际进口博览会（进博会）,对外开放、进口与消费升级；消费与医药器械等主题,每年11月5-10日，上海
三中全会,每届中央委员会第三次全会，多聚焦改革与重大决定,十一届1978-12至二十届2024-07，具体见历届时间表
两会,全国人大与政协年度会议，政策与立法预期,每年3月（人大一般3月5日开幕）
中央经济工作会议（各年）,当年经济工作总基调与政策方向,每年12月前后，本表有2012-2025各届具体日期
证监会系统工作会议,资本市场监管年度部署,每年1-2月
全国科技创新大会,科技创新与人才战略部署,不定期（2006、2016、2022、2023等）
中央城镇化工作会议,城镇化与城乡发展政策,不定期（2013、2023等）
一带一路国际合作高峰论坛,一带一路合作与开放表态,2017、2019、2023等，日期不固定
陆家嘴论坛,金融改革、资本市场制度与开放；监管高层表态,每年6月
中国发展高层论坛,宏观政策沟通、外资预期,每年3月，多在两会后
中关村论坛,科创政策、关键技术、产业生态,每年3-5月，北京
世界互联网大会（乌镇）,数字经济、网络安全与治理,每年10-11月，乌镇
世界人工智能大会,人工智能、算力与应用生态,每年7-8月，上海
中国国际高新技术成果交易会（高交会）,高新技术、成果转化与产业招商,每年11月，深圳
中国国际服务贸易交易会（服贸会）,服务贸易、数字经济、文旅与金融,每年8-9月，北京
中国—东盟博览会,区域合作、外贸与跨境物流,每年9月，南宁
中国国际消费品博览会（消博会）,消费、免税与旅游会展,每年4月，海南
中央政治局会议（经济形势）,定调宏观政策与稳增长；常提“资本市场”“活跃”等，影响风险偏好与风格,通常每季度末（如4月、7月、10月）及年末12月分析经济、部署次年工作
中央政治局会议（其他议题）,重大改革、党建、法治等议题会间接影响政策预期,根据需要召开
中国人民银行货币政策委员会例会,释放货币政策信号（降准降息预期），影响流动性预期与金融地产板块,每季度一次（约季末：6月、9月、12月及次年3月前后）
国务院常务会议,部署稳经济、行业政策、民生等；涉及行业时易催化相关板块,一般每月2—3次，具体日期不固定
美联储FOMC议息会议,影响全球风险偏好、美元与北向资金；降息预期升温利好成长与外资偏好板块,每年约8次；3月、6月、9月、12月会议附带经济展望与点阵图
欧洲央行货币政策会议,影响欧元区与全球流动性，间接影响A股外资与出口预期,每月一次（部分会议为重大决策）
G20领导人峰会,全球治理与经贸表态；影响风险偏好与主题（如贸易、气候）,每年一次，多在第四季度，东道国轮换
冬季达沃斯（世界经济论坛年会）,全球政商领袖表态与主题；影响开放、科技等预期,每年1月下旬，瑞士达沃斯，约一周
夏季达沃斯（新领军者年会）,国内政策与开放信号；易有产业与区域主题,每年6月或9月，中国城市（如天津、大连）
博鳌亚洲论坛,亚洲经济一体化与开放表态；海南、自贸等主题,每年3月下旬，海南博鳌
IMF与世行春季会议,全球经济展望与债务议题；影响全球增长与风险偏好,每年4月，华盛顿为主
IMF与世行秋季年会,同上；秋季常与全球增长预期修正共振,每年10月，多在美国或成员国轮换
OPEC+部长级会议,决定原油产量与油价；直接影响油气、化工等板块,每年多次，具体日期由产油国协商
英国央行货币政策会议,影响英镑与全球利率预期，间接影响资金流向,每月一次（部分为决议日）
日本央行货币政策会议,影响日元与套利资金，间接影响亚太与北向,每年约8次
全国住房城乡建设工作会议,房地产政策定调，影响地产链与金融,通常每年底或次年1月
中央农村工作会议,三农与粮食安全政策，影响农业、种业等板块,通常12月下旬
