会议名称,意义,大概召开时间
CES（国际消费电子展）,全球消费电子与科技风向；影响电子、汽车、AI等板块,每年1月上旬，美国拉斯维加斯
日本央行1月货币政策会议,影响日元与亚太资金面，间接影响北向与套利资金,每年1月一次
全国林业和草原工作会议,林业、生态相关政策与板块预期,多在每年1月
世界政府峰会（阿联酋）,全球治理与科技议题；影响开放与科技预期,每年2月，迪拜
巴菲特致股东信发布,全球价值投资与市场情绪；影响风险偏好与风格,每年2月下旬
MWC巴塞罗那（世界移动通信大会）,通信、手机、5G与终端；影响电子与通信板块,每年2月底，西班牙巴塞罗那
伯克希尔股东大会（巴菲特股东大会）,全球关注度高；影响风险偏好与价值风格,每年5月上旬，美国奥马哈
世界半导体大会（中国）,半导体、国产替代预期；影响电子与半导体板块,多在每年5月，南京等
中国国际大数据产业博览会（数博会）,大数据、数字经济；贵州与大数据主题,每年5月，贵阳
G7峰会,发达经济体政策协调；影响汇率与全球风险偏好,每年一次，多在5-6月
杰克逊霍尔全球央行年会,美联储等央行表态；影响全球流动性预期与北向,每年8月下旬，美国怀俄明
中国国际智能产业博览会（智博会）,智能制造、数字经济；重庆与产业主题,每年8月，重庆
世界机器人大会,机器人、自动化与高端制造；影响机械与科技板块,每年8月，北京
